date,stock,weight
2022-10-27,600435.SH,0.4829057762851928
2022-11-03,688208.SH,0.14663520361306812
2022-11-03,688185.SH,0.15304387253420537
2022-11-03,688200.SH,0.10036695586216053
2022-11-03,688082.SH,0.06295693564632684
2022-11-03,002368.SZ,0.5369970323442391
2022-11-10,000959.SZ,0.37516376901102894
2022-11-10,603379.SH,0.01742219050902678
2022-11-10,601168.SH,0.07621768290738441
2022-11-10,002563.SZ,0.4394565353518964
2022-11-10,601828.SH,0.09173982222066338
2022-11-17,601118.SH,0.27217568986793744
2022-11-17,002110.SZ,0.006621312048780122
2022-11-17,000401.SZ,0.03072468657841423
2022-11-17,600928.SH,0.5675665134779586
2022-11-17,002233.SZ,0.1229117980269097
2022-11-24,603826.SH,0.11809560538310898
2022-11-24,600507.SH,0.5237365793932394
2022-11-24,002080.SZ,5.5321415851072864e-17
2022-11-24,600642.SH,0.04465162878277456
2022-11-24,601000.SH,0.3135161864408771
2022-12-01,601000.SH,0.38648021970594537
2022-12-01,600339.SH,0.19140866106187146
2022-12-01,601928.SH,0.07793579249951604
2022-12-01,600755.SH,0.3441753267326672
2022-12-01,002407.SZ,0.0
2022-12-08,603000.SH,0.07874754261203565
2022-12-08,600398.SH,0.5647792467871379
2022-12-08,600298.SH,0.07749897329355471
2022-12-08,603198.SH,0.17112866846736796
2022-12-08,600873.SH,0.10784556883990402
2022-12-15,603198.SH,0.1386917854142608
2022-12-15,002092.SZ,0.2383270663246233
2022-12-15,002078.SZ,0.23608430850957554
2022-12-15,002032.SZ,0.38689683975154043
2022-12-15,300595.SZ,0.0
2022-12-22,600862.SH,0.42059852815730353
2022-12-22,600056.SH,0.14776934918928614
2022-12-22,600765.SH,0.18529205419061107
2022-12-22,002156.SZ,0.13008414259552142
2022-12-22,000887.SZ,0.1162559258672779
2022-12-29,600315.SH,0.27622519014273506
2022-12-29,603517.SH,0.18749296907573648
2022-12-29,300832.SZ,0.14944079001859062
2022-12-29,300357.SZ,0.24523732039858198
2022-12-29,300257.SZ,0.14160373036435595
2023-01-05,603658.SH,0.10804097355335025
2023-01-05,300832.SZ,0.1011514056584302
2023-01-05,600879.SH,0.5037964959191632
2023-01-05,603529.SH,0.14305017979941045
2023-01-05,600481.SH,0.14396094506964674
2023-01-12,300558.SZ,0.10518497629473562
2023-01-12,300118.SZ,0.05736675439350821
2023-01-12,300442.SZ,0.5187421057960799
